Quantity,Brand,Part Number,Subcategory,Application,Engine,Description,Jobber,Public Price,Last Purchase,Last Sale,Category,Dealer,Type
,aFe Power,54-11042,Air Filter,BMW 5-Series (E60) 06-09 L6-3.0L,3.0L,aFe MagnumFORCE Intakes Stage-2 P5R AIS P5R BMW 5-Series (E60) 06-09 L6-3.0L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-11112,Air Filter,Volkswagen Jetta/GTI 05-08 L4-2.0L,1.8T,aFe MagnumFORCE Intakes Stage-2 P5R AIS P5R VW Jetta/GTI 05-08 L4-2.0L (t) MKV,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-11762,Air Filter,Chevrolet Camaro SS 10-15,6.2L,aFe MagnumFORCE Intakes Stage-2 P5R AIS P5R Chevrolet Camaro 10-11 V8-6.2L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-11892,Air Filter,Audi / Volkswagen Beetle 2.0T,2.0T,aFe MagnumFORCE Intakes Stage-2 P5R AIS P5R VW GTI 09-11 L4-2.0L (t),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-11982-B,Air Filter,Ford Mustang GT V8 5.0 10-14,5.0L,aFe MagnumFORCE Intakes Stage-2 P5R AIS P5R Ford Mustang 11-12 V8-5.0L Black,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-12022,Air Filter,Chevrolet Camaro V6 3.6 12-15,3.6L,aFe MagnumFORCE Air Intake Stage-2 PRO 5R 12-14 Chevrolet Camaro V6 3.6L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-12102-P,Air Filter,Ford Mustang V6 3.7 10-14,3.7L,aFe MagnumFORCE Intakes Stage-2 P5R AIS PDS Ford Mustang 11-12 V6-3.7L (pol),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-12172,Air Filter,Dodge Challenger V8 6.4L 11-21,6.4L,aFe MagnumFORCE Intake Stage-2 Pro 5R 11-12 Dodge Challenger/Charger / 11-12 Chrysler 300 V8 6.4L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-12202,Air Filter,BMW M135i/M235i/335i/435i/M2 F87 12-16,N55 3.0T,aFe MagnumFORCE Intake Stage-2 Pro 5R 12-15 BMW 335i (F30) L6 3.0L (t) N55,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,aFe Power,54-12212,Air Filter,BMW 2/3/4-Series 12-18 L4-2.0L (t) N20,N20 2.0T,aFe MagnumFORCE Intakes Stage-2 PRO 5R 12-15 BMW 328i (F30) L4 3.0L (t) N20,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
